,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
940,frozenset({'THREE'}),frozenset({'CLE DE PEAU BEAUTE'}),0.03085173445296192,0.006737991448162664,0.0008236644444576601,0.02669750855380464,3.962235446452607,0.0006157857215526173,1.020507002993473
941,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'THREE'}),0.006737991448162664,0.03085173445296192,0.0008236644444576601,0.12224183583406885,3.962235446452607,0.0006157857215526173,1.1041176318399137
942,frozenset({'TOM FORD BEAUTY'}),frozenset({'CLE DE PEAU BEAUTE'}),0.013719811360027595,0.006737991448162664,0.0009872079262091811,0.07195491980927612,10.678986514430353,0.0008947639545949102,1.07027344872914
943,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'TOM FORD BEAUTY'}),0.006737991448162664,0.013719811360027595,0.0009872079262091811,0.14651368049426303,10.67898651443035,0.0008947639545949102,1.1555899211262552
944,frozenset({'WHOO'}),frozenset({'CLE DE PEAU BEAUTE'}),0.005157566710872965,0.006737991448162664,0.00034938834737824933,0.06774286537907179,10.053866333942011,0.0003146367069870589,1.065437819315499
945,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'WHOO'}),0.006737991448162664,0.005157566710872965,0.00034938834737824933,0.05185348631950574,10.053866333942011,0.0003146367069870589,1.0492496876114321
946,frozenset({'YVES SAINT LAURENT'}),frozenset({'CLE DE PEAU BEAUTE'}),0.043642321484855875,0.006737991448162664,0.0011373705776355776,0.026061184165701436,3.8677971567933467,0.000843308988692653,1.0198402532103479
947,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'YVES SAINT LAURENT'}),0.006737991448162664,0.043642321484855875,0.0011373705776355776,0.16879964695498675,3.867797156793347,0.000843308988692653,1.1505741967163878
948,frozenset({'DOLCE&GABBANA'}),frozenset({'CLINIQUE'}),0.00643766614530987,0.08705270857740958,0.0004698158203043693,0.07297921478060047,0.8383336483517387,-9.06004545619465e-05,0.9848185779421565
949,frozenset({'CLINIQUE'}),frozenset({'DOLCE&GABBANA'}),0.08705270857740958,0.00643766614530987,0.0004698158203043693,0.0053969121464680974,0.8383336483517386,-9.06004545619465e-05,0.9989535986650838
950,frozenset({'ESTEE LAUDER'}),frozenset({'CLINIQUE'}),0.11072191066362971,0.08705270857740958,0.009506336566538409,0.08585777204855516,0.9862734135630961,-0.00013230565559652768,0.9986928330271623
951,frozenset({'CLINIQUE'}),frozenset({'ESTEE LAUDER'}),0.08705270857740958,0.11072191066362971,0.009506336566538409,0.10920207678644624,0.986273413563096,-0.00013230565559652768,0.9982938511220361
952,frozenset({'CLINIQUE'}),frozenset({'FRESH'}),0.08705270857740958,0.010694256947624457,0.0011834601043110061,0.013594753381609509,1.2712200060453331,0.00025249607079751645,1.0029404714177348
953,frozenset({'FRESH'}),frozenset({'CLINIQUE'}),0.010694256947624457,0.08705270857740958,0.0011834601043110061,0.11066314472403725,1.2712200060453334,0.00025249607079751645,1.0265483612947777
954,frozenset({'GIORGIO ARMANI'}),frozenset({'CLINIQUE'}),0.024229710200950338,0.08705270857740958,0.0018941308704676155,0.07817389703626434,0.8980064872622548,-0.00021513103057080232,0.9903682359258441
955,frozenset({'CLINIQUE'}),frozenset({'GIORGIO ARMANI'}),0.08705270857740958,0.024229710200950338,0.0018941308704676155,0.021758436944937835,0.8980064872622548,-0.00021513103057080232,0.9974737597037948
956,frozenset({'CLINIQUE'}),frozenset({'GIVENCHY'}),0.08705270857740958,0.0013425433092874857,0.0001709772763765901,0.0019640661292526303,1.4629443353265073,5.410524492063554e-05,1.0006227459341615
957,frozenset({'GIVENCHY'}),frozenset({'CLINIQUE'}),0.0013425433092874857,0.08705270857740958,0.0001709772763765901,0.1273532668881506,1.4629443353265073,5.410524492063554e-05,1.0461819849677654
958,frozenset({'CLINIQUE'}),frozenset({'GUERLAIN'}),0.08705270857740958,0.005313676397999417,0.0006021373646305999,0.006916928542150568,1.3017218257315726,0.00013956744168089715,1.0016144189647675
959,frozenset({'GUERLAIN'}),frozenset({'CLINIQUE'}),0.005313676397999417,0.08705270857740958,0.0006021373646305999,0.11331841074426413,1.3017218257315726,0.00013956744168089715,1.0296224738227637
960,frozenset({'CLINIQUE'}),frozenset({'HOURGLASS'}),0.08705270857740958,0.009247640513586003,0.0009292243281336418,0.01067427244159038,1.1542698297915526,0.00012419217347579316,1.001442024490281
961,frozenset({'HOURGLASS'}),frozenset({'CLINIQUE'}),0.009247640513586003,0.08705270857740958,0.0009292243281336418,0.10048231511254019,1.1542698297915526,0.00012419217347579316,1.0149297859961597
962,frozenset({'CLINIQUE'}),frozenset({'IPSA'}),0.08705270857740958,0.007032369715315401,0.0008429923104828398,0.009683699959010795,1.3770180395836145,0.0002308054790468875,1.0026772559873907
963,frozenset({'IPSA'}),frozenset({'CLINIQUE'}),0.007032369715315401,0.08705270857740958,0.0008429923104828398,0.11987315010570825,1.3770180395836145,0.0002308054790468875,1.0372905809341466
964,frozenset({'CLINIQUE'}),frozenset({'JO MALONE'}),0.08705270857740958,0.018753977080124412,0.0017305873887160945,0.019879764995217927,1.0600292892693481,9.80028872926053e-05,1.0011486222556032
965,frozenset({'JO MALONE'}),frozenset({'CLINIQUE'}),0.018753977080124412,0.08705270857740958,0.0017305873887160945,0.09227842080228318,1.0600292892693484,9.80028872926053e-05,1.0057569549348957
966,frozenset({'JURLIQUE'}),frozenset({'CLINIQUE'}),0.0011046618812852733,0.08705270857740958,0.00011299367830105085,0.10228802153432033,1.1750125091554515,1.6829869472950924e-05,1.0169712706551495
967,frozenset({'CLINIQUE'}),frozenset({'JURLIQUE'}),0.08705270857740958,0.0011046618812852733,0.00011299367830105085,0.0012979915288973906,1.1750125091554515,1.6829869472950924e-05,1.0001935809139988
968,frozenset({'KANEBO'}),frozenset({'CLINIQUE'}),0.023649874220194943,0.08705270857740958,0.0017811371921665645,0.07531275539070849,0.8651397138750528,-0.0002776484162164575,0.9873038659772347
969,frozenset({'CLINIQUE'}),frozenset({'KANEBO'}),0.08705270857740958,0.023649874220194943,0.0017811371921665645,0.020460445416040442,0.8651397138750528,-0.0002776484162164575,0.9967439509826541
970,frozenset({'CLINIQUE'}),frozenset({'KIEHLS'}),0.08705270857740958,0.0817851217060856,0.006626484528786627,0.07612037163546934,0.9307361785072119,-0.000493131837061218,0.9938685193431052
971,frozenset({'KIEHLS'}),frozenset({'CLINIQUE'}),0.0817851217060856,0.08705270857740958,0.006626484528786627,0.08102310531004019,0.9307361785072119,-0.000493131837061218,0.993438786870258
972,frozenset({'CLINIQUE'}),frozenset({'LA MER'}),0.08705270857740958,0.03362453984811271,0.0035905228039083917,0.041245388714305234,1.2266454470638732,0.0006634155354611404,1.0079486959191497
973,frozenset({'LA MER'}),frozenset({'CLINIQUE'}),0.03362453984811271,0.08705270857740958,0.0035905228039083917,0.10678280863105766,1.2266454470638732,0.0006634155354611404,1.0220888046538936
974,frozenset({'CLINIQUE'}),frozenset({'LA PRAIRIE'}),0.08705270857740958,0.0017618093261413848,0.00020219921380188046,0.002322721683290067,1.3183729072300696,4.8828939964332146e-05,1.0005622182336307
975,frozenset({'LA PRAIRIE'}),frozenset({'CLINIQUE'}),0.0017618093261413848,0.08705270857740958,0.00020219921380188046,0.11476793248945148,1.3183729072300696,4.8828939964332146e-05,1.0313084273934887
976,frozenset({'LANCOME'}),frozenset({'CLINIQUE'}),0.07436024763456656,0.08705270857740958,0.006583368519961225,0.08853343996800958,1.0170095958505794,0.00011010755288529215,1.0016245592054942
977,frozenset({'CLINIQUE'}),frozenset({'LANCOME'}),0.08705270857740958,0.07436024763456656,0.006583368519961225,0.07562508539417953,1.0170095958505794,0.00011010755288529215,1.0013683168372784
978,frozenset({'CLINIQUE'}),frozenset({'LANEIGE'}),0.08705270857740958,0.03997300045792175,0.003288710742130585,0.03777838502527668,0.945097555662471,-0.00019104721769753683,0.9977192203973689
979,frozenset({'LANEIGE'}),frozenset({'CLINIQUE'}),0.03997300045792175,0.08705270857740958,0.003288710742130585,0.08227330209030723,0.945097555662471,-0.00019104721769753683,0.9947921243895504
980,frozenset({'LAURA MERCIER'}),frozenset({'CLINIQUE'}),0.04978263584516298,0.08705270857740958,0.004403779935890955,0.08846016007645442,1.016167808239916,7.006664544667758e-05,1.0015440372843856
981,frozenset({'CLINIQUE'}),frozenset({'LAURA MERCIER'}),0.08705270857740958,0.04978263584516298,0.004403779935890955,0.050587511955185134,1.0161678082399157,7.006664544667758e-05,1.0008477622952694
982,frozenset({'CLINIQUE'}),frozenset({'LOCCITANE'}),0.08705270857740958,0.023728672443220678,0.0025141093421983812,0.028880311517966935,1.217106080716205,0.0004484641350698819,1.0053048446405188
983,frozenset({'LOCCITANE'}),frozenset({'CLINIQUE'}),0.023728672443220678,0.08705270857740958,0.0025141093421983812,0.10595238095238095,1.217106080716205,0.0004484641350698819,1.0211394471304607
984,frozenset({'NARS'}),frozenset({'CLINIQUE'}),0.06109538450559319,0.08705270857740958,0.004787363738544523,0.07835884457206824,0.9001310338596699,-0.0005311549642456658,0.9905669750595018
985,frozenset({'CLINIQUE'}),frozenset({'NARS'}),0.08705270857740958,0.06109538450559319,0.004787363738544523,0.05499385161907365,0.9001310338596699,-0.0005311549642456658,0.9935433934509599
986,frozenset({'ORIGINS'}),frozenset({'CLINIQUE'}),0.03435899875706954,0.08705270857740958,0.0036440461252088894,0.10605798355690177,1.2183191688124464,0.0006530022193981366,1.0212600757430692
987,frozenset({'CLINIQUE'}),frozenset({'ORIGINS'}),0.08705270857740958,0.03435899875706954,0.0036440461252088894,0.04186022680694084,1.2183191688124464,0.0006530022193981366,1.0078289496582247
988,frozenset({'CLINIQUE'}),frozenset({'PAUL & JOE'}),0.08705270857740958,0.001357410898537624,0.00014718913357636887,0.0016908047547479167,1.2456101218646962,2.9022838206173396e-05,1.0003339585148552
989,frozenset({'PAUL & JOE'}),frozenset({'CLINIQUE'}),0.001357410898537624,0.08705270857740958,0.00014718913357636887,0.10843373493975904,1.2456101218646962,2.9022838206173396e-05,1.023981421460473
990,frozenset({'CLINIQUE'}),frozenset({'PHILOSOPHY'}),0.08705270857740958,0.0016666567549405,0.0001873316245517422,0.002151933324224621,1.2911676731550197,4.224463976533572e-05,1.0004863231041783
991,frozenset({'PHILOSOPHY'}),frozenset({'CLINIQUE'}),0.0016666567549405,0.08705270857740958,0.0001873316245517422,0.11239964317573595,1.2911676731550195,4.224463976533572e-05,1.0285566971705769
992,frozenset({'CLINIQUE'}),frozenset({'POLA'}),0.08705270857740958,0.0017915445046416613,0.0001992256959518528,0.0022885640114769777,1.2774251521788058,4.326689428582264e-05,1.000498159576915
993,frozenset({'POLA'}),frozenset({'CLINIQUE'}),0.0017915445046416613,0.08705270857740958,0.0001992256959518528,0.11120331950207468,1.2774251521788058,4.326689428582264e-05,1.0271722559890024
994,frozenset({'CLINIQUE'}),frozenset({'SHISEIDO'}),0.08705270857740958,0.062408192636380394,0.005234878174973684,0.060134581226943574,0.9635687028675233,-0.00019792403144397713,0.9975809181144202
995,frozenset({'SHISEIDO'}),frozenset({'CLINIQUE'}),0.062408192636380394,0.08705270857740958,0.005234878174973684,0.08388126548503907,0.9635687028675233,-0.00019792403144397713,0.9965381746133053
996,frozenset({'CLINIQUE'}),frozenset({'SHU UEMURA'}),0.08705270857740958,0.02409144162092405,0.0022182443161206295,0.025481623172564558,1.057704373757073,0.0001210190694846524,1.001426531899959
997,frozenset({'SHU UEMURA'}),frozenset({'CLINIQUE'}),0.02409144162092405,0.08705270857740958,0.0022182443161206295,0.092076030609726,1.057704373757073,0.0001210190694846524,1.0055327562677852
998,frozenset({'CLINIQUE'}),frozenset({'SISLEY'}),0.08705270857740958,0.008290167765877099,0.0009455786763087939,0.010862139636562372,1.310243645643902,0.00022389711772806008,1.0026002157775462
999,frozenset({'SISLEY'}),frozenset({'CLINIQUE'}),0.008290167765877099,0.08705270857740958,0.0009455786763087939,0.11406025824964132,1.3102436456439022,0.00022389711772806008,1.0304846350146486
1000,frozenset({'CLINIQUE'}),frozenset({'SKII'}),0.08705270857740958,0.04329144637855261,0.003477529125607341,0.039947397185407844,0.9227549672537282,-0.000291108539879353,0.9965168062840087
1001,frozenset({'SKII'}),frozenset({'CLINIQUE'}),0.04329144637855261,0.08705270857740958,0.003477529125607341,0.08032831925269593,0.9227549672537282,-0.000291108539879353,0.9926882718414798
1002,frozenset({'SULWHASOO'}),frozenset({'CLINIQUE'}),0.022057555411505135,0.08705270857740958,0.0023342115122717082,0.10582367214882718,1.2156275649335593,0.0004140415691038879,1.0209924631045946
1003,frozenset({'CLINIQUE'}),frozenset({'SULWHASOO'}),0.08705270857740958,0.022057555411505135,0.0023342115122717082,0.02681377237327504,1.2156275649335593,0.0004140415691038879,1.004887262917159
1004,frozenset({'SUQQU'}),frozenset({'CLINIQUE'}),0.0019015646650926846,0.08705270857740958,0.00016800375852656243,0.08835027365129007,1.0149055106393003,2.4674038951495053e-06,1.0014233153769239
1005,frozenset({'CLINIQUE'}),frozenset({'SUQQU'}),0.08705270857740958,0.0019015646650926846,0.00016800375852656243,0.001929908457439541,1.0149055106393003,2.4674038951495053e-06,1.0000283985990432
1006,frozenset({'CLINIQUE'}),frozenset({'THREE'}),0.08705270857740958,0.03085173445296192,0.0030597498676784556,0.03514824429566881,1.1392631538838622,0.0003740228192371346,1.0044530258843447
1007,frozenset({'THREE'}),frozenset({'CLINIQUE'}),0.03085173445296192,0.08705270857740958,0.0030597498676784556,0.09917594332803238,1.1392631538838622,0.0003740228192371346,1.0134579384962379
1008,frozenset({'TOM FORD BEAUTY'}),frozenset({'CLINIQUE'}),0.013719811360027595,0.08705270857740958,0.0014109342198381216,0.10283918508885999,1.1813438865881198,0.0002165874797766059,1.0175960388027134
1009,frozenset({'CLINIQUE'}),frozenset({'TOM FORD BEAUTY'}),0.08705270857740958,0.013719811360027595,0.0014109342198381216,0.016207815275310834,1.1813438865881196,0.0002165874797766059,1.0025289933727004
